title,year,vote_average,vote_count,revenue,budget,runtime,genres,production_companies
Inside Out,2015.0,7.922,19463,857611174,175000000,95,"Animation, Family, Adventure, Drama, Comedy","Pixar, Walt Disney Pictures"
Up,2009.0,7.949,18857,735099082,175000000,96,"Animation, Comedy, Family, Adventure",Pixar
Finding Nemo,2003.0,7.824,18061,940335536,94000000,100,"Animation, Family",Pixar
Coco,2017.0,8.222,17742,800526015,175000000,105,"Family, Animation, Fantasy, Music, Comedy, Adventure","Pixar, Walt Disney Pictures"
WALL·E,2008.0,8.078,17446,521311860,180000000,98,"Animation, Family, Science Fiction","Pixar, Walt Disney Pictures"
"Monsters, Inc.",2001.0,7.835,17189,579707738,115000000,92,"Animation, Comedy, Family",Pixar
Toy Story,1995.0,7.971,17152,394400000,30000000,81,"Animation, Adventure, Family, Comedy",Pixar
The Lion King,1994.0,8.256,16991,763455561,45000000,89,"Family, Animation, Drama","Walt Disney Pictures, Walt Disney Feature Animation"
The Incredibles,2004.0,7.704,16584,631442092,92000000,115,"Action, Adventure, Animation, Family","Pixar, Walt Disney Pictures"
Shrek,2001.0,7.73,15765,487853320,60000000,90,"Animation, Comedy, Fantasy, Adventure, Family","DreamWorks Pictures, Pacific Data Images, DreamWorks Animation"
Ratatouille,2007.0,7.809,15728,623726000,150000000,111,"Animation, Comedy, Family, Fantasy","Pixar, Walt Disney Pictures"
Frozen,2013.0,7.2,15520,1274219009,150000000,102,"Animation, Family, Adventure, Fantasy","Walt Disney Pictures, Walt Disney Animation Studios"
Zootopia,2016.0,7.748,15230,1023784195,150000000,109,"Animation, Adventure, Family, Comedy","Walt Disney Animation Studios, Walt Disney Pictures"
Spirited Away,2001.0,8.539,14913,274925095,19000000,125,"Animation, Family, Fantasy",Studio Ghibli
Big Hero 6,2014.0,7.738,14732,657827828,165000000,102,"Adventure, Family, Animation, Action, Comedy","Walt Disney Pictures, Walt Disney Animation Studios"
Despicable Me,2010.0,7.227,14147,533679475,69000000,95,"Family, Animation, Comedy","Illumination, Universal Pictures"
Spider-Man: Into the Spider-Verse,2018.0,8.404,14024,375464627,90000000,117,"Action, Adventure, Animation, Science Fiction","Columbia Pictures, Lord Miller, Pascal Pictures, Sony Pictures Animation, Arad Productions"
Toy Story 3,2010.0,7.792,13777,1066969703,200000000,103,"Animation, Family, Comedy","Pixar, Walt Disney Pictures"
Cars,2006.0,6.936,12906,461983149,120000000,117,"Animation, Adventure, Comedy, Family","Pixar, Walt Disney Pictures"
